FUNC __main__.calc_pure_python 22.3750 1738025764.8143 26.2461 1738025769.5762 0
FUNC __main__.calculate_z_serial_purepython 99.0977 1738025765.0117 109.8477 1738025769.5496 1
FUNC .create_output_list 99.0977 1738025765.0118 106.7227 1738025765.0142 2
FUNC .calculate_output 106.7227 1738025766.0147 109.8477 1738025769.5495 2
CMDLINE /home/flaviorv/py-venv/bin/python3 julia_memoryprofiler.py
MEM 0.625000 1738025764.7558
MEM 36.847656 1738025764.8560
MEM 81.722656 1738025764.9563
MEM 106.722656 1738025765.0567
MEM 106.722656 1738025765.1571
MEM 106.722656 1738025765.2573
MEM 106.722656 1738025765.3578
MEM 106.722656 1738025765.4582
MEM 106.722656 1738025765.5587
MEM 106.722656 1738025765.6592
MEM 106.722656 1738025765.7596
MEM 106.722656 1738025765.8602
MEM 106.722656 1738025765.9608
MEM 106.847656 1738025766.0612
MEM 106.847656 1738025766.1614
MEM 106.972656 1738025766.2616
MEM 107.097656 1738025766.3619
MEM 107.222656 1738025766.4622
MEM 107.222656 1738025766.5624
MEM 107.347656 1738025766.6626
MEM 107.472656 1738025766.7629
MEM 107.472656 1738025766.8631
MEM 107.597656 1738025766.9634
MEM 107.722656 1738025767.0637
MEM 107.847656 1738025767.1639
MEM 107.847656 1738025767.2643
MEM 107.972656 1738025767.3645
MEM 108.097656 1738025767.4647
MEM 108.222656 1738025767.5650
MEM 108.222656 1738025767.6652
MEM 108.347656 1738025767.7654
MEM 108.472656 1738025767.8657
MEM 108.472656 1738025767.9660
MEM 108.597656 1738025768.0661
MEM 108.597656 1738025768.1664
MEM 108.722656 1738025768.2666
MEM 108.847656 1738025768.3668
MEM 108.972656 1738025768.4670
MEM 108.972656 1738025768.5672
MEM 109.097656 1738025768.6674
MEM 109.222656 1738025768.7677
MEM 109.347656 1738025768.8679
MEM 109.347656 1738025768.9681
MEM 109.472656 1738025769.0683
MEM 109.597656 1738025769.1686
MEM 109.597656 1738025769.2688
MEM 109.722656 1738025769.3691
MEM 109.847656 1738025769.4693
MEM 62.277344 1738025769.5696
