FUNC __main__.calc_pure_python 22.3750 1738029005.6385 23.6133 1738029009.1421 0
FUNC __main__.calculate_z_serial_purepython 22.3750 1738029005.6387 33.1250 1738029009.1362 1
CMDLINE /home/flaviorv/py-venv/bin/python3 julia_memoryprofiler2.py
MEM 0.500000 1738029005.5773
MEM 23.500000 1738029005.6775
MEM 24.875000 1738029005.7777
MEM 25.250000 1738029005.8779
MEM 25.500000 1738029005.9782
MEM 25.750000 1738029006.0785
MEM 25.875000 1738029006.1787
MEM 26.125000 1738029006.2789
MEM 26.250000 1738029006.3791
MEM 26.500000 1738029006.4793
MEM 26.625000 1738029006.5795
MEM 26.750000 1738029006.6803
MEM 26.875000 1738029006.7805
MEM 27.125000 1738029006.8807
MEM 27.250000 1738029006.9810
MEM 27.375000 1738029007.0812
MEM 27.500000 1738029007.1815
MEM 27.750000 1738029007.2817
MEM 27.875000 1738029007.3819
MEM 28.000000 1738029007.4821
MEM 28.250000 1738029007.5824
MEM 28.375000 1738029007.6825
MEM 28.500000 1738029007.7828
MEM 28.750000 1738029007.8830
MEM 28.875000 1738029007.9832
MEM 29.000000 1738029008.0835
MEM 29.125000 1738029008.1837
MEM 29.375000 1738029008.2839
MEM 29.500000 1738029008.3841
MEM 29.625000 1738029008.4843
MEM 29.750000 1738029008.5846
MEM 30.000000 1738029008.6848
MEM 30.250000 1738029008.7850
MEM 30.500000 1738029008.8853
MEM 30.750000 1738029008.9855
MEM 31.875000 1738029009.0858
